block_name,fish_id,genotype,time_interval_seconds
20240604_block02,20240604_block02,MUT,1584.37
20240604_block07,20240604_block07,WT,1596.08
20240702_block02,20240702_block02,MUT,1584.37
20240702_block03,20240702_block03,MUT,1586.54
20240702_block04,20240702_block04,MUT,1588.78
20240702_block05,20240702_block05,WT,1590.99
20240702_block06,20240702_block06,WT,1593.47
20240702_block07,20240702_block07,WT,1596.08
