fish_id,genotype,n_cell_track_rows,n_unique_tracks,fish_mean__net_displacement_3d_um,fish_median__net_displacement_3d_um,n_nonmissing__net_displacement_3d_um,fish_mean__directionality_ratio,fish_median__directionality_ratio,n_nonmissing__directionality_ratio,fish_mean__tortuosity,fish_median__tortuosity,n_nonmissing__tortuosity,fish_mean__mean_squared_displacement_3d_um2_per_min,fish_median__mean_squared_displacement_3d_um2_per_min,n_nonmissing__mean_squared_displacement_3d_um2_per_min,fish_mean__mean_speed_um_per_min,fish_median__mean_speed_um_per_min,n_nonmissing__mean_speed_um_per_min,fish_mean__median_speed_um_per_min,fish_median__median_speed_um_per_min,n_nonmissing__median_speed_um_per_min,fish_mean__mean_sphericity,fish_median__mean_sphericity,n_nonmissing__mean_sphericity,fish_mean__mean_elongation,fish_median__mean_elongation,n_nonmissing__mean_elongation,fish_mean__mean_volume_um3,fish_median__mean_volume_um3,n_nonmissing__mean_volume_um3,fish_mean__injury_median_net_approach_um,fish_mean__injury_median_min_abs_distance_to_injury_um,fish_mean__injury_mean_fraction_detections_inside,fish_mean__injury_mean_fraction_steps_toward,fish_mean__injury_entries_per_track,fish_mean__injury_exits_per_track
260512_block06,MUT,453,453,9.995394332891646,6.9399428863563575,453,0.2747504493278621,0.214834282351232,453,7.597866785607265,4.654750578239196,453,2.07071350535163,0.9273443108539904,453,0.2953145172085397,0.2402585383506593,453,0.1996529533119992,0.1576564655345464,453,0.5968570285805943,0.6018837518863659,453,0.6360591740904329,0.6531204254024809,453,250.81931802819895,146.45664418087185,453,-1.428875486169666,119.89998179908306,0.016061144737615326,0.39162974618491975,0.04090909090909091,0.045454545454545456
260513_block08,MUT,347,347,12.51647453010864,9.908486871309943,347,0.3514760303754012,0.3186556969897755,347,4.795512684549528,3.138183341602351,347,1.3372917708152956,0.6192648457349229,347,0.2145674266108838,0.1787735726979625,347,0.1519064647152689,0.1286945172820531,347,0.6095446489050403,0.6128405146193279,347,0.6423503409991049,0.6715740708984481,347,327.21348293012477,225.07600838839505,347,-2.0239133220342724,121.97594738984877,0.06335227272727273,0.3768420090793033,0.0,0.01875
260519_block07,MUT,710,710,13.012176136256258,9.910671622668977,710,0.3010659574308595,0.2310874196335822,710,7.575520402538511,4.327402367858259,710,1.781073095864071,0.8200185030967846,710,0.2663151368993891,0.2263625012055318,710,0.1721804138647022,0.1472740442230874,710,0.6440827405902835,0.6534403881086954,710,0.5856250828048778,0.6085840254710788,710,235.15361926338,164.2316820794866,710,0.11664669762623703,80.3679774740275,0.03680992812547998,0.3917128643578484,0.07142857142857142,0.058673469387755105
260519_block08,MUT,659,659,13.049153456046216,9.924441009408142,659,0.2948050885178658,0.2272721429941844,659,7.133261063901582,4.40001131166167,659,1.8920894638042016,0.8922249981102622,659,0.2729497112018807,0.2268357868570944,659,0.178221030198184,0.1450169483927611,659,0.6260034754578313,0.6303048007595611,659,0.6548686276010701,0.6803366192190411,659,219.99494589330433,143.08275847601595,659,0.5781767724056976,105.31821915688536,0.001971020669081611,0.40549878977769654,0.0110803324099723,0.008310249307479225
260519_block01,WT,637,637,11.297897871081178,8.797415091705892,637,0.2771855292783915,0.2127982945765555,637,8.398677022944872,4.6992857813540585,637,1.7873139180597766,0.6819580730832668,637,0.2443112332342491,0.1971254938819093,637,0.1499388478828768,0.1221344356737197,637,0.6429409148664436,0.6429270592025894,637,0.6549136943561528,0.6880730360477845,637,177.36480710311662,98.47414393441213,637,0.0,115.73080199892864,0.024328858357582996,0.36555297017032035,0.06128133704735376,0.04735376044568245
260519_block05,WT,261,261,11.98479957500584,10.83866504767917,261,0.3976342437046328,0.3572974983445858,261,3.599737051305745,2.798788137709202,261,1.4169444339985604,0.4896836881538695,261,0.252978965414691,0.2040866318422845,261,0.1815463249786779,0.1567175678266131,261,0.6353340242349018,0.6343786913536275,261,0.6361063506855107,0.6665457420893904,261,237.82900330032209,141.55999587835,261,-2.1764842006327854,117.5146880971779,0.014492753623188406,0.3304655665880447,0.0,0.0
260601_block01,WT,883,883,13.84208988821992,11.18012645236418,883,0.2758560847852742,0.2151485670225711,883,8.001757612976512,4.647951012823108,883,3.173026769265027,1.3407453920016374,883,0.39288031553078,0.3160014396553903,883,0.230144670893533,0.1776447099645607,883,0.6222048702238316,0.6218835546831799,883,0.6610962740476072,0.6883734605352271,883,232.50810225117283,147.14373778403004,883,-0.049520541134569385,82.05909665174752,0.02620508187199761,0.38244774645953444,0.064030131826742,0.05084745762711865
260601_block03,WT,489,489,12.120154755105128,10.471433964336809,489,0.3940873762510356,0.3649944011122938,489,3.547623964539873,2.7397680538456837,489,2.200441531017354,0.7227396017650584,489,0.3443021598797866,0.2728070871363917,489,0.2278397202152573,0.1805221018028496,489,0.6527229610126768,0.6462411056749097,489,0.6007364706410391,0.6201649353491718,489,238.30702011054865,166.4980797003596,489,-4.804987183183002,119.31725457639696,0.04516829951022139,0.2686561886486269,0.027607361963190184,0.046012269938650305
260601_block05,WT,894,894,12.614404212148164,9.22536258391191,894,0.2915511528014782,0.2325719595227309,894,7.0223248301795955,4.299744564660858,894,2.9466344320144717,1.334298249123124,894,0.3907944802951734,0.3183035018049629,894,0.2377783217470699,0.1841191128507575,894,0.6181276466327397,0.6169491084458656,894,0.6484300765627606,0.6788487676304209,894,198.6957352879985,129.9501045658449,894,-0.37147549545546354,92.2322107531369,0.04442750189825514,0.37351723426256045,0.05508474576271186,0.046610169491525424
