fish_id,genotype,n_cell_track_rows,n_unique_tracks,fish_mean__net_displacement_3d_um,fish_median__net_displacement_3d_um,n_nonmissing__net_displacement_3d_um,fish_mean__directionality_ratio,fish_median__directionality_ratio,n_nonmissing__directionality_ratio,fish_mean__tortuosity,fish_median__tortuosity,n_nonmissing__tortuosity,fish_mean__mean_squared_displacement_3d_um2_per_min,fish_median__mean_squared_displacement_3d_um2_per_min,n_nonmissing__mean_squared_displacement_3d_um2_per_min,fish_mean__mean_speed_um_per_min,fish_median__mean_speed_um_per_min,n_nonmissing__mean_speed_um_per_min,fish_mean__median_speed_um_per_min,fish_median__median_speed_um_per_min,n_nonmissing__median_speed_um_per_min,fish_mean__mean_sphericity,fish_median__mean_sphericity,n_nonmissing__mean_sphericity,fish_mean__mean_elongation,fish_median__mean_elongation,n_nonmissing__mean_elongation,fish_mean__mean_volume_um3,fish_median__mean_volume_um3,n_nonmissing__mean_volume_um3
20240604_block02,MUT,253,253,7.773058142114111,6.372919402504552,253,0.3481737139664632,0.3054200000447519,253,4.316278154541502,3.2741798174758503,253,0.2843314395620041,0.2159641471581293,253,0.0796624195737366,0.0736162122605554,253,0.07014327830208815,0.0603011896866002,253,0.6122643445453165,0.6108241046597933,253,0.5097609901401611,0.5087702138419341,253,228.2470945984959,147.72702446391017,253
20240702_block02,MUT,268,268,7.6031114768467685,6.868821669645213,268,0.328743066013234,0.2829865223190518,268,4.487534681045653,3.5342764398546134,268,0.2876647062479299,0.23900554886207198,268,0.07750061761049001,0.07226584752999901,268,0.06642336143492103,0.05682454734761555,268,0.6000119912037843,0.5954074142506044,268,0.5414875286456999,0.5453551318261745,268,207.3077054694407,141.69789260030836,268
20240702_block03,MUT,208,208,9.301003267723353,7.84466592238456,208,0.38102916874938997,0.34453383245992764,208,3.6900602754797953,2.90248568422337,208,0.29821123779991504,0.23796890546203595,208,0.08168655965831371,0.0785621375568086,208,0.07070380372607772,0.06530877108124586,208,0.5992051245209469,0.5944918926614999,208,0.48459573178043447,0.47926959874049235,208,250.73705223555754,185.05813802612226,208
20240702_block04,MUT,449,449,7.173327238691337,5.589802315882596,449,0.30061925731514777,0.2537512020079578,449,5.365868457472917,3.9408680317054783,449,0.2854236710007376,0.2277620590958027,449,0.07600730336721906,0.0715648647976192,449,0.06427102998335742,0.0577052273490912,449,0.5931638182702968,0.5821920434685044,449,0.5972440793418152,0.6253242788432488,449,162.85741625883531,101.34913079920068,449
20240604_block07,WT,409,409,9.491892088484505,8.214311995864602,409,0.3400152499847201,0.3049239383663948,409,4.340291524963757,3.279506375778231,409,0.3795806249745677,0.3329317937285089,409,0.09184125316840615,0.0880687212050926,409,0.07914208961795738,0.0719669447661434,409,0.6113727708818578,0.6109823908603229,409,0.5877782168497386,0.6006270428118938,409,160.4666488941377,93.50080916564757,409
20240702_block05,WT,280,280,7.7881316163661545,6.335221825511631,280,0.2902472444088656,0.23960580833870765,280,5.576239550151265,4.173609097221092,280,0.24054196978366826,0.19049665249023312,280,0.07444707016644679,0.0691422831552683,280,0.06577621208971583,0.0591666663309624,280,0.6023657951520905,0.5992100503542481,280,0.5411154644032155,0.5437035333396704,280,173.7157632918018,106.27044955747621,280
20240702_block06,WT,261,261,10.297867298996648,8.857582990115883,261,0.3895251762809558,0.3548884343705877,261,3.530836478226579,2.8177869526054,261,0.24726744584788898,0.2088277998062449,261,0.07761460358061263,0.0746915772164662,261,0.07127246082192769,0.0648569228802397,261,0.6038398794184076,0.5942421161894595,261,0.47536822932782785,0.4714794216665885,261,168.26472060517239,119.2876642025002,261
20240702_block07,WT,405,405,9.102811894229635,7.853505744854071,405,0.3476986891219516,0.3000491153193658,405,4.131402887204477,3.3327876968929617,405,0.2596445549810416,0.2104554742691232,405,0.07395064720460255,0.0708337800816064,405,0.06195494296056295,0.0562918694836679,405,0.6211849574467758,0.6172345916613542,405,0.6134690013701676,0.6299948627563337,405,136.54398112280484,78.0167404071989,405
