selected_order,feature,imputer_median,scaler_mean,scaler_scale,coefficient_standardized_space
1,fish_mean__tortuosity,6.033042218951397,6.5070535696830625,2.2678618248036613,1.2544785911909464
2,fish_median__mean_elongation,0.6582919528605835,0.6392038027015658,0.04910030586282215,-0.7467835472555668
3,fish_median__mean_sphericity,0.6249780431419213,0.6259219659203102,0.012992897513458872,-0.6890403476073012
4,fish_median__median_speed_um_per_min,0.16589654522721486,0.15757497581765137,0.06156530237959085,0.0
5,fish_mean__mean_squared_displacement_3d_um2_per_min,2.180677762173338,1.843525189493377,1.3113167790989717,0.0
6,fish_mean__net_displacement_3d_um,11.039419280913856,10.68859793024502,3.6188322239572663,0.0
7,fish_median__mean_volume_um3,123.9766522651552,151.11626634694994,92.85753148896535,0.0
