fish_id,genotype,n_cell_track_rows,n_unique_tracks,fish_mean__net_displacement_3d_um,fish_median__net_displacement_3d_um,fish_mean__directionality_ratio,fish_median__directionality_ratio,fish_mean__tortuosity,fish_median__tortuosity,fish_mean__mean_squared_displacement_3d_um2_per_min,fish_median__mean_squared_displacement_3d_um2_per_min,fish_mean__mean_speed_um_per_min,fish_median__mean_speed_um_per_min,fish_mean__median_speed_um_per_min,fish_median__median_speed_um_per_min,fish_mean__mean_sphericity,fish_median__mean_sphericity,fish_mean__mean_elongation,fish_median__mean_elongation,fish_mean__mean_volume_um3,fish_median__mean_volume_um3,fish_mean__mean_surface_area_um2,fish_median__mean_surface_area_um2,fish_mean__median_surface_area_um2,fish_median__median_surface_area_um2,fish_mean__mean_surface_area_to_volume,fish_median__mean_surface_area_to_volume,fish_mean__mean_solidity_3d,fish_median__mean_solidity_3d,fish_mean__mean_extent_3d,fish_median__mean_extent_3d,fish_mean__mean_aspect_ratio_3d,fish_median__mean_aspect_ratio_3d,fish_mean__mean_prolate_ellipticity,fish_median__mean_prolate_ellipticity,fish_mean__mean_oblate_ellipticity,fish_median__mean_oblate_ellipticity
20240422_block01,MUT,394,394,8.532560854151994,7.664129275683894,0.3432238626489581,0.3060721477271515,4.36752996626305,3.267204870792723,0.6634347696836205,0.5797445619675734,0.13680044035886035,0.13110166915513188,0.12123072151451549,0.1144214335382277,0.7149238718816696,0.6969008772661756,0.41144574265451206,0.39735333128252837,97.20073141625817,53.53651389260939,130.54826879443812,96.7949858267186,120.79930969465032,77.93129941797898,2.2011029332287944,2.20379956224184,0.7636192953318559,0.7690692681057849,0.5235856163177607,0.5255864542231058,2776857367.567996,2272077057.708026,0.4114457424958749,0.39735333106674275,0.6518513164854943,0.6421161559489352
20240422_block06,MUT,370,370,8.59402713379679,7.916077103471249,0.3395448639823353,0.3107361958861488,4.187448669833413,3.2182567900682164,0.6860698438808271,0.5869383236768025,0.13904184711760711,0.13270173121261514,0.12296986097366788,0.1143515539783449,0.7292653506798064,0.7226801612629794,0.41376285873230606,0.4049013067346061,106.48751092596868,64.21389841408899,139.69808566373226,100.25426044361946,131.19720506845206,85.67004865368054,2.1244776182653613,2.0991945999483996,0.763696120714244,0.7651665881415969,0.5134545635314929,0.5179574235945161,2048517405.0766523,1817628073.2923827,0.41376285857037315,0.40490130655425494,0.580764859829066,0.560038740144315
260427_block06,MUT,1090,1090,14.032292527706128,12.555556910794733,0.3268089933981148,0.2784225465541502,6.194723777760738,3.591664621729941,6.3497061412458935,5.079204797961889,0.7409335571871587,0.7206429332778835,0.5669002809597069,0.49537501205003,0.7327473918188504,0.7440190884233329,0.45443180591040294,0.4146274224589746,92.21522920523168,43.58886725520267,127.00920532478277,81.75804366480781,118.17909245736072,69.69803936430301,2.025848663506356,2.109713847197211,0.7687210206120328,0.7825753117541143,0.5557669279706459,0.5763021707128849,3645948927.999988,3654656881.6185436,0.4544318057785072,0.41462742227300364,0.7170652928716253,0.7503845536934123
260427_block07,MUT,922,922,14.46023548384386,12.420811041295963,0.350537257572308,0.31054857289554627,5.479231039135831,3.2201088112718033,7.332661844293051,6.348114534622282,0.8655227158876143,0.8590600053351893,0.7065641109948835,0.6483752811155705,0.7468313969065492,0.7466335465722793,0.37348404225635706,0.3469505998214219,147.34149899697627,54.619768817858244,161.63353860400036,93.87533814131554,149.15043266973356,78.78448358963044,1.8313489488316554,1.9369623059410683,0.8119352738971506,0.8207316416999606,0.5700836282716261,0.5943436318080118,2902584302.437503,2623167156.25019,0.3734840421240853,0.3469505996617931,0.656131889153881,0.6876468416054096
260427_block08,MUT,965,965,12.905642439816965,10.93098534034207,0.35404238711494623,0.3144770521405791,5.747628240497816,3.1798822622929412,6.860944700526708,4.808540222319573,0.7640912443465885,0.6864620379343077,0.6003756699359136,0.4577930999360917,0.7138384858613233,0.7207489747427127,0.46757070462283606,0.4531035775821213,169.08640440029717,62.89549136601858,186.692325510382,108.51688016768814,174.912239661911,92.3181351945303,1.8701910424961814,1.973269635892889,0.7566947404802846,0.7643530788384454,0.5115198625689373,0.5155049879314585,3449989991.9169574,3130115391.006826,0.4675707045068136,0.4531035775330315,0.6672264705437859,0.6839275574462902
260511_block07,MUT,495,495,18.32888002187251,15.252417416403777,0.36792763156634134,0.326493495044223,5.308505774085499,3.0628481583210463,9.23172935013017,8.115128078830015,1.038794404372682,1.0295194189932226,0.864223386920082,0.8269568669945081,0.7073853869021424,0.7128866341222986,0.4652940072525175,0.4280031664443755,275.9806369487081,167.88199407744546,271.26746627922154,205.47244513916715,258.8060787651745,181.2384696250604,1.5628496429775085,1.5030730129355272,0.7644222243414602,0.7673373018527149,0.48412275608082134,0.4758808034463405,2590807754.7565756,1354413390.4764483,0.46529400715385116,0.4280031662876167,0.5240658806727022,0.4880375377041434
20240422_block08,WT,378,378,8.82722011400002,7.747817408581579,0.33127159341042145,0.30105042965654394,4.429098840295489,3.3217145612956607,0.7698187677320706,0.7013329664451753,0.14544504766347016,0.1448219657951283,0.1281189264150364,0.1220249540144967,0.7200015681621571,0.7169958167633892,0.4196131569977621,0.4140951457681608,69.59424585835059,42.59128195152547,108.79724362556821,81.20550462287869,96.80120977677242,66.88027149619116,2.2706916105070705,2.3149202119767045,0.7406969466817694,0.7444591149437714,0.4987840186701038,0.5009220442596201,2378479895.0379314,2025880227.7264323,0.41961315683453787,0.41409514556050686,0.6268095173340896,0.6259347297480287
20240422_block11,WT,409,409,8.373729919443324,7.363466234418029,0.356257021675505,0.3225331108394169,4.227289989950941,3.1004568721562387,0.6411959519692431,0.5342821084116248,0.13223070915780155,0.1233973908532036,0.11591790272120828,0.1025635387831894,0.6914433686870541,0.6907642750440702,0.4647936267060858,0.4515975276878448,102.54768195436988,49.763948167464605,146.1754281773889,98.77380422002769,135.96362756008207,82.46513445126944,2.1709609120744435,2.2558358206437887,0.7134232858353476,0.7319926879416909,0.44898514067972367,0.4470286190325989,2329718052.3958693,1636975579.1690464,0.46479362656404,0.4515975275412368,0.6103032089570578,0.5979757877128031
260420_block03,WT,736,736,16.357191605873606,13.804728354431088,0.3357477921480134,0.28779827724062146,4.930546412014005,3.4746890522174523,6.013431619877827,4.572651759524012,0.6870076823441952,0.6468589118762462,0.545072144362661,0.503596479966807,0.7135634252654179,0.7112026036902064,0.4317569301497893,0.40995914688032886,215.4955529177606,135.92207498565196,223.3845286468895,178.28000235075356,208.45892211128515,150.77471844581248,1.6098208340616897,1.6326831845763383,0.7769754425045032,0.7826484998840597,0.49870334809115013,0.5015346073277618,2910233199.3913913,2252054830.2902174,0.43175693004613824,0.40995914674623346,0.5724000025711806,0.5591284703994757
260427_block02,WT,538,538,14.719810041806719,13.117966854541006,0.36831589138211734,0.32741988061516325,4.661786730405108,3.054185448194313,7.153118264725264,5.586937596837734,0.8079974023422946,0.7438654855857558,0.637572171055797,0.5636713170357947,0.7140750726812989,0.7244390253951681,0.4631922392290669,0.4507640199312398,137.93050506116865,88.0930961150363,167.5317552702095,130.46989662037743,150.88315484503207,110.59059179444532,1.823324507003047,1.860650700528192,0.7704597488803147,0.7761988991898302,0.5090405625722909,0.5058796702225874,3557374615.0428424,2783492619.68856,0.46319223911667623,0.4507640197909702,0.641263191074776,0.634486505749386
