selected_order,feature
1,fish_median__mean_extent_3d
2,fish_median__mean_prolate_ellipticity
3,fish_mean__net_displacement_3d_um
4,fish_median__tortuosity
5,fish_median__mean_oblate_ellipticity
6,fish_median__mean_sphericity
7,fish_median__mean_volume_um3
8,fish_mean__mean_solidity_3d
