fish_id,genotype,n_cell_track_rows,n_unique_tracks,fish_mean__net_displacement_3d_um,fish_median__net_displacement_3d_um,fish_mean__directionality_ratio,fish_median__directionality_ratio,fish_mean__tortuosity,fish_median__tortuosity,fish_mean__mean_squared_displacement_3d_um2_per_min,fish_median__mean_squared_displacement_3d_um2_per_min,fish_mean__mean_speed_um_per_min,fish_median__mean_speed_um_per_min,fish_mean__median_speed_um_per_min,fish_median__median_speed_um_per_min,fish_mean__mean_sphericity,fish_median__mean_sphericity,fish_mean__mean_elongation,fish_median__mean_elongation,fish_mean__mean_volume_um3,fish_median__mean_volume_um3,fish_mean__mean_surface_area_um2,fish_median__mean_surface_area_um2,fish_mean__median_surface_area_um2,fish_median__median_surface_area_um2,fish_mean__mean_surface_area_to_volume,fish_median__mean_surface_area_to_volume,fish_mean__mean_solidity_3d,fish_median__mean_solidity_3d,fish_mean__mean_extent_3d,fish_median__mean_extent_3d,fish_mean__mean_aspect_ratio_3d,fish_median__mean_aspect_ratio_3d,fish_mean__mean_prolate_ellipticity,fish_median__mean_prolate_ellipticity,fish_mean__mean_oblate_ellipticity,fish_median__mean_oblate_ellipticity,fish_mean__injury_median_net_approach_um,fish_mean__injury_median_min_abs_distance_to_injury_um,fish_mean__injury_mean_fraction_detections_inside,fish_mean__injury_mean_fraction_steps_toward,fish_mean__injury_entries_per_track,fish_mean__injury_exits_per_track
20240422_block01,MUT,482,482,9.011091821294158,7.809415913188847,0.3267736552983077,0.287180017151744,4.588275772654021,3.482140398626769,0.6922714191467209,0.6051292854884371,0.1396895759864382,0.1356394026846897,0.1244960039150096,0.1194419918628564,0.7153738396328698,0.7018336250882722,0.4180313072014661,0.4017608265986278,105.594641417089,57.214579399759714,139.07031029085897,100.0084650125348,126.3951228273692,78.44290206456486,2.1718360897797204,2.1738552722651656,0.75847916932628,0.7662561224206417,0.5090813554488688,0.5055080029230599,2612149675.4615993,2140286775.7379403,0.4180313070445512,0.4017608264817629,0.63149627523321,0.6236650363892468,0.3697611178654085,60.68923029268663,0.2540187331343177,0.5132189932754584,0.1236673773987206,0.1364605543710021
20240422_block06,MUT,419,419,9.206576165998015,8.561407245808093,0.3419766223661274,0.3141761567703879,4.427605155581371,3.182927725259682,0.7134309558703575,0.6131652678026989,0.1414938554362613,0.1372357166092412,0.1249637697681374,0.1165665354353128,0.72872739364993,0.7209955244488032,0.4108767699104752,0.4080101527633127,109.3233623112167,65.62398020091737,142.7501779401051,105.01223311024752,133.96000622948412,89.62252117777444,2.1086616955936264,2.070887892883744,0.7597190195944803,0.7611018269384133,0.5093362534170556,0.5108089278030961,2032482139.5072231,1732178391.154992,0.4108767697494959,0.4080101526578922,0.5789935190070324,0.5503511914429562,0.2267279176240926,24.275833543839916,0.3375686116188929,0.5071007562150015,0.0920096852300242,0.0871670702179176
260427_block06,MUT,1090,1090,14.032292527706128,12.555556910794731,0.3268089933981148,0.2784225465541502,6.194723777760738,3.591664621729941,6.3497061412458935,5.079204797961889,0.7409335571871587,0.7206429332778835,0.5669002809597069,0.49537501205003,0.7327473918188504,0.7440190884233329,0.4544318059104029,0.4146274224589746,92.21522920523168,43.58886725520267,127.00920532478276,81.75804366480781,118.17909245736072,69.69803936430301,2.025848663506356,2.109713847197211,0.7687210206120328,0.7825753117541143,0.5557669279706459,0.5763021707128849,3645948927.999988,3654656881.618544,0.4544318057785072,0.4146274222730036,0.7170652928716253,0.7503845536934123,-0.2555144296328819,128.18768816058144,0.0559923150001196,0.4173957911902305,0.0288461538461538,0.0317307692307692
260427_block07,MUT,1200,1200,18.055907139709408,15.309371776717049,0.3113114779498738,0.2656546748790244,5.549213977793085,3.764287964756398,7.448930132964994,6.536088196237172,0.8764259594881232,0.8686989828071091,0.7016117675552761,0.6599588627626531,0.7441471677514326,0.7484103207317726,0.3539819554811138,0.327748658072217,168.37576558562225,69.91445050729811,181.18404816721184,107.23816855145152,154.6431931605929,89.76903654064682,1.8021000062688977,1.8554030272855453,0.81364766456233,0.8240728733356006,0.5735662568794909,0.589160618340508,2843194006.48507,2504873711.6786647,0.3539819553487164,0.3277486579471076,0.657463618327193,0.6639913665757597,-1.295934175401257,82.54001482475151,0.0450139047028915,0.4423887366142198,0.0524956970740103,0.0533562822719449
260427_block08,MUT,1256,1256,14.595323708179173,12.511210437947964,0.344441237579864,0.3090929287091279,5.7598012765212765,3.23527298501757,7.305747431278189,5.529849755270614,0.8159328610048697,0.755968395584329,0.6585089995628116,0.5844588292869921,0.715952484378298,0.7196715665520257,0.4513225688519752,0.4321237066724751,204.51630281496955,77.29862644575559,209.90623438468285,121.12443787403652,196.507065709108,103.26027532444772,1.7930673858817714,1.879387932040324,0.7586931514836881,0.7683973266495492,0.5060563763597224,0.5096664079137184,3141787516.473107,2708527713.8264093,0.451322568737391,0.4321237065382536,0.633911117120641,0.6465370532318102,-0.6360586277605691,85.6955541736721,0.1019103481969276,0.4303886168376288,0.1247906197654941,0.1289782244556113
260511_block07,MUT,495,495,18.32888002187251,15.252417416403777,0.3679276315663413,0.326493495044223,5.308505774085499,3.0628481583210463,9.23172935013017,8.115128078830015,1.038794404372682,1.0295194189932226,0.864223386920082,0.8269568669945081,0.7073853869021424,0.7128866341222986,0.4652940072525175,0.4280031664443755,275.9806369487081,167.88199407744546,271.26746627922154,205.47244513916715,258.8060787651745,181.2384696250604,1.5628496429775085,1.5030730129355272,0.7644222243414602,0.7673373018527149,0.4841227560808213,0.4758808034463405,2590807754.7565756,1354413390.4764483,0.4652940071538511,0.4280031662876167,0.5240658806727022,0.4880375377041434,-0.4736696806005998,17.367038288676056,0.2698701726472084,0.4510198323491033,0.3325892857142857,0.3459821428571428
20240422_block08,WT,409,409,8.79719768826098,7.7615023493489215,0.3309758894838839,0.2985822632839636,4.480402845732974,3.349160760594008,0.7483125742775688,0.6909388113005804,0.1426688251621412,0.140887763270698,0.1249941533813345,0.1162692960421715,0.717293638257872,0.7145405151053069,0.4201835260574142,0.4138449726938691,69.54647407454311,41.33378872520411,109.43064107716204,79.19446513113269,97.6724948080754,66.0770228967373,2.275903296296422,2.32043853984868,0.7417623566494905,0.747999975545518,0.50034667781789,0.5029791567158268,2457645513.063706,2119170393.4647193,0.4201835258952983,0.4138449724458388,0.6394728076588382,0.6436417450656634,-0.4152487153774729,47.59676117828833,0.0784152442639503,0.4896172158631361,0.0717821782178217,0.0792079207920792
20240422_block11,WT,649,649,9.725404434120431,8.35760632848907,0.3437455694373008,0.3175027523892613,4.333019204833082,3.149578995693211,0.7232639898161644,0.6336932513777552,0.1416785136882785,0.1381527599999672,0.1245545665474195,0.1167723662647732,0.6960636756424158,0.6965237173338645,0.4559470881989055,0.4456110719890487,111.12895029908904,52.216498989872505,155.12267421548592,98.92002560839298,141.49396479607776,80.16210914590165,2.1682361594593815,2.217291930624174,0.7091558730022708,0.7257052343284212,0.4392249269385893,0.4348586780761908,2034596744.227198,1431150781.3615804,0.4559470880521947,0.4456110718278858,0.5859589347537812,0.5592695939537271,0.2293057530461711,20.534477051897586,0.2304174657923162,0.4913675956560797,0.146417445482866,0.1479750778816199
260420_block03,WT,850,850,17.499924759223273,14.878966074696487,0.326010955691809,0.2811406166499813,5.322618629156211,3.556938923802576,6.225655159500558,4.781120174376189,0.7053437778097552,0.6558277370195156,0.5634499321158274,0.5252155984044508,0.7145333288664703,0.7100716399859717,0.4296792599743985,0.4100784541671503,222.3785719344069,147.13351946890617,229.4649635556256,186.87917790017497,213.69653298758743,156.4478611286054,1.591144950077532,1.5786445561504658,0.7726255182896007,0.7768947062898971,0.4925919725004636,0.4934981464680757,2783697561.848412,2055415274.41054,0.4296792598707247,0.4100784540636079,0.5599761221332328,0.526838290724071,-0.5570595269105034,40.919338498947056,0.2211406830894061,0.4508793129811722,0.2190082644628099,0.2272727272727272
260427_block02,WT,601,601,14.545085671373458,13.033084105326868,0.3676233661710024,0.3207176393816481,4.802266331062736,3.1180074844901755,7.117941519461508,5.547497151398904,0.7944680254722785,0.7385041289300175,0.6247138819494161,0.5189937810984222,0.7109151183947542,0.7214739972646187,0.4633275271989834,0.4554712800419976,134.64319374618265,85.43125115690508,166.49909501948488,127.50495459531976,150.7755388536843,103.06063101214552,1.853044920900664,1.89033541857527,0.7695043567171813,0.7763570454735395,0.5133229522063302,0.5141416652130938,3730295281.113617,2995313183.734521,0.4633275270859138,0.4554712799811377,0.6624749939118457,0.6603667907845909,-0.0270350904353904,97.36386369855008,0.0966358137297636,0.4487163096148842,0.1033868092691622,0.0909090909090909
