fish_id,genotype,n_cell_track_rows,n_unique_tracks,fish_mean__net_displacement_3d_um,fish_median__net_displacement_3d_um,n_nonmissing__net_displacement_3d_um,fish_mean__directionality_ratio,fish_median__directionality_ratio,n_nonmissing__directionality_ratio,fish_mean__tortuosity,fish_median__tortuosity,n_nonmissing__tortuosity,fish_mean__mean_squared_displacement_3d_um2_per_min,fish_median__mean_squared_displacement_3d_um2_per_min,n_nonmissing__mean_squared_displacement_3d_um2_per_min,fish_mean__mean_speed_um_per_min,fish_median__mean_speed_um_per_min,n_nonmissing__mean_speed_um_per_min,fish_mean__median_speed_um_per_min,fish_median__median_speed_um_per_min,n_nonmissing__median_speed_um_per_min,fish_mean__mean_sphericity,fish_median__mean_sphericity,n_nonmissing__mean_sphericity,fish_mean__mean_elongation,fish_median__mean_elongation,n_nonmissing__mean_elongation,fish_mean__mean_volume_um3,fish_median__mean_volume_um3,n_nonmissing__mean_volume_um3
20240422_block01,MUT,217,217,7.453993353989794,5.523905612704132,217,0.2693133824390089,0.236085092825071,217,5.689138052893766,4.235760877714364,217,0.2524054631211709,0.2041920688238535,217,0.0840952938697355,0.0796542078968616,217,0.0723928854338326,0.067415960904968,217,0.6022714435463324,0.5994604988066541,217,0.5236571284331573,0.533867182494792,217,202.44646455306844,137.8446908480406,217
260427_block06,MUT,596,596,10.6178501741332,7.1873284363050125,596,0.2631880274184603,0.1946390300899551,596,9.442055556853946,5.137739944011615,596,2.6888131534782373,0.9897645053722802,596,0.3634087407647444,0.2861769311588501,596,0.2328079971654191,0.1742965735582781,596,0.619303389666465,0.6206798213638953,596,0.6391196960549875,0.6784487264937072,596,205.3011916830599,112.92223416964784,596
260427_block07,MUT,640,640,11.892243215192558,9.03784867633239,640,0.2773202914235709,0.2224640274285089,640,8.234449007115973,4.495109025318602,640,2.7955770792898615,1.3190952599913208,640,0.3769080328339664,0.2930099756865412,640,0.2355030725054417,0.1814549249735691,640,0.6194692347882514,0.6196692537038944,640,0.6227278569256998,0.6470624650064812,640,236.62228098721303,141.60544326006158,640
260427_block08,MUT,899,899,12.57432893293294,10.07978917312622,899,0.2793004155562691,0.2077891978219313,899,8.100865889914537,4.812569712391729,899,3.1600210870506897,1.6440911774297855,899,0.3999773852357548,0.3351693393378167,899,0.2456494289449448,0.1854828705553931,899,0.6215135416606643,0.6178538054433347,899,0.6277580294831658,0.6548863257248737,899,222.88812736603728,138.55031776585852,899
260511_block07,MUT,675,675,12.066457454647225,7.995431171901319,675,0.2651591519894283,0.1933123500039227,675,9.201361556447482,5.172975239190397,675,3.3851472734626564,1.3132185144226929,675,0.4443183469740029,0.3428055388944998,675,0.2856222749021094,0.2116606050990587,675,0.6358086294453584,0.6289113890311122,675,0.6278394824078015,0.6530425116421027,675,232.9417679158335,150.69562522590522,675
20240325_block02,WT,558,558,10.028598719536811,7.565519819585504,558,0.3453466008856025,0.3041903556463187,558,5.396338354545821,3.2874156430407044,558,0.5404529155081246,0.3370520917574849,558,0.1741214509617289,0.1527989765333713,558,0.1458458441716119,0.1275242987830666,558,0.6260712234566369,0.6239149318763376,558,0.5926110634166367,0.6069041661397224,558,162.30145868525798,87.48297269248056,558
20240422_block11,WT,452,452,9.197916124248929,8.123225446412704,452,0.302592979162011,0.2495551649160954,452,5.520958236653058,4.007131536178829,452,0.4888673941832268,0.3508242484120781,452,0.1082798710162368,0.1017915644968047,452,0.0873869162707208,0.0790152371963974,452,0.6132086396410129,0.611369672047227,452,0.6326214748472644,0.6556607846839089,452,171.7077739403796,86.65962116875903,452
260420_block03,WT,474,474,14.137328745401822,10.797538248812184,474,0.3243376865016168,0.2731343730085191,474,5.3844974586843675,3.661212235414095,474,3.2931066410109504,1.447851484776746,474,0.4264516750582907,0.3509760194609083,474,0.3118088984686075,0.2521561302505825,474,0.6246049459560126,0.6309497263497338,474,0.5661353560044313,0.5767797846007752,474,222.79643835392727,132.0742729188127,474
260427_block02,WT,275,275,10.888077739039648,8.494072204573284,275,0.2871513273946072,0.2434100606959372,275,6.527609688513167,4.108293622461148,275,2.4056878759107176,0.8654182845702985,275,0.3616529554918988,0.2894762995719732,275,0.2414369108012146,0.2065530852663279,275,0.6438223492183748,0.6461382693271629,275,0.6423392537497749,0.6755642932663934,275,158.67150309706363,108.14511555179652,275
260427_block03,WT,532,532,11.190760822788064,7.910448365050561,532,0.2688314478115806,0.2004883373336878,532,8.113750626342458,4.987821371983176,532,2.015098212991407,0.7582898107833005,532,0.3153428671308825,0.252235169668081,532,0.1992642019070762,0.1574965168961516,532,0.651896029469263,0.6547054381153802,532,0.6360805625917555,0.6635675593421816,532,189.4215294138397,115.87903161149768,532
260427_block04,WT,94,94,7.0957895858418025,6.145711910041678,94,0.5154985255186718,0.4889342877222588,94,2.262240377363766,2.0453558428905563,94,0.2101933086902386,0.1842550406138003,94,0.159118163560445,0.1542867299083215,94,0.1344477585207281,0.1291526799806316,94,0.6157358976272619,0.6164802814648636,94,0.6242251667297277,0.6618248063605408,94,499.27164132039,489.31326131738626,94
260428_block02,WT,244,244,19.91965219346303,17.067580402879535,244,0.5228865979839078,0.5259139839044262,244,2.3414143913545264,1.901481160853544,244,2.346257311355269,1.4537797112285165,244,0.3592916435104361,0.3171508298191244,244,0.2797773553665498,0.2495499800969514,244,0.6319506043334786,0.6258798310765266,244,0.6368633912718017,0.6719836469960175,244,256.189756251666,189.51762891674545,244
260428_block04,WT,624,624,13.887178057012466,11.7156059490673,624,0.3527951374871373,0.2865956515776861,624,5.733772135225496,3.4892611537835103,624,1.6785101705373229,0.6934748594790197,624,0.2653390379312657,0.2143441278653305,624,0.1759176297702307,0.1464245445789371,624,0.6483476750562371,0.643717905045323,624,0.6372124706563483,0.6641150221493415,624,217.4017678871824,146.36491973041893,624
260511_block02,WT,823,823,11.737127255029442,7.608672628035817,823,0.2416364932132512,0.1742188705831431,823,10.768649594862952,5.7399063411030795,823,3.7018262121793266,1.4595625269151835,823,0.4544427764804828,0.3580504700598413,823,0.2783041986942507,0.198926999097406,823,0.6291268834248224,0.632651128254501,823,0.6544606392536106,0.6821097832672942,823,190.8313380531933,106.4967267340405,823
260511_block05,WT,902,902,12.043013733165171,9.009073458557944,902,0.2850198259592192,0.214818573754757,902,8.419296483690863,4.655091662963435,902,3.474933706567134,1.5603573734362914,902,0.4612917661908501,0.379728035926433,902,0.2903119513430629,0.2345746118581685,902,0.6234221887728082,0.624076255207316,902,0.6397559564225391,0.6609231210372583,902,195.4833637609403,103.20248248298196,902
260511_block06,WT,2021,2021,2.149160062427818,1.5919345226419577,2021,0.3775253453689204,0.3414930387929187,2021,4.116890317606274,2.928317378107375,2021,0.1619188631905848,0.1020859151595177,2021,0.1363252895094255,0.1236803328715102,2021,0.1175837901516018,0.105471972793082,2021,0.6321706839673678,0.631344913226166,2021,0.6557482695468468,0.6997272348240022,2021,328.3912989851861,275.72343038313636,2021
